Atom1_COD_type        Atom2_COD_type        Atom1_id       Atom2_ID   Bond_length       BondInRing
C[6,6](C[6,6]CCO)(C[6]CHH)(C[6]CHN)(H)	C[6](C[6,6]CCH)(C[6]CO)(NCCH)(H)	C[6](C[6,6]CCH)2(H)2	C9	C10	C8	110.142
C[6,6](C[6,6]CCO)(C[6]CHH)(C[6]CHN)(H)	C[6](C[6,6]CCH)2(H)2	H(C[6,6]C3)	C9	C8	H9	109
C[6,6](C[6,6]CCO)(C[6]CHH)(C[6]CHN)(H)	C[6](C[6,6]CCH)(C[6]CO)(NCCH)(H)	C[6,6](C[6,6]CCH)(C[6]CO)2(OH)	C9	C10	C14	112.666
C[6,6](C[6,6]CCO)(C[6]CHH)(C[6]CHN)(H)	C[6,6](C[6,6]CCH)(C[6]CO)2(OH)	H(C[6,6]C3)	C9	C14	H9	106.392
C[6,6](C[6,6]CCO)(C[6]CHH)(C[6]CHN)(H)	C[6](C[6,6]CCH)(C[6]CO)(NCCH)(H)	H(C[6,6]C3)	C9	C10	H9	108.843
C[6](C[6,6]CCH)(C[6]CO)(NCCH)(H)	C[6,6](C[6,6]CCO)(C[6]CHH)(C[6]CHN)(H)	N(C[6]CCH)(CH3)2(H)	C10	C9	N10	115.037
C[6](C[6,6]CCH)(C[6]CO)(NCCH)(H)	N(C[6]CCH)(CH3)2(H)	H(C[6]CCN)	C10	N10	H10A	99.0063
C[6](C[6,6]CCH)(C[6]CO)(NCCH)(H)	C[6](C[6]CHN)(C[6]CC)(O)	N(C[6]CCH)(CH3)2(H)	C10	C11	N10	109.52
C[6](C[6,6]CCH)(C[6]CO)(NCCH)(H)	C[6,6](C[6,6]CCO)(C[6]CHH)(C[6]CHN)(H)	H(C[6]CCN)	C10	C9	H10A	113.954
C[6](C[6,6]CCH)(C[6]CO)(NCCH)(H)	C[6,6](C[6,6]CCO)(C[6]CHH)(C[6]CHN)(H)	C[6](C[6]CHN)(C[6]CC)(O)	C10	C9	C11	116.761
C[6](C[6,6]CCH)(C[6]CO)(NCCH)(H)	C[6](C[6]CHN)(C[6]CC)(O)	H(C[6]CCN)	C10	C11	H10A	100.223
C[6](C[6]CHN)(C[6]CC)(O)	C[6](C[6,6]CCH)(C[6]CO)(NCCH)(H)	O(C[6]CC)	C11	C10	O11	116.586
C[6](C[6]CHN)(C[6]CC)(O)	C[6](C[6]CO)2(CNO)	O(C[6]CC)	C11	C12	O11	124.258
C[6](C[6]CHN)(C[6]CC)(O)	C[6](C[6,6]CCH)(C[6]CO)(NCCH)(H)	C[6](C[6]CO)2(CNO)	C11	C10	C12	118.454
C[6](C[6]CO)2(CNO)	C[6](C[6,6]CCO)(C[6]CC)(O)	C[6](C[6]CHN)(C[6]CC)(O)	C12	C13	C11	121.115
C[6](C[6]CO)2(CNO)	C[6](C[6]CHN)(C[6]CC)(O)	C(C[6]CC)(NHH)(O)	C12	C11	C19	117.431
C[6](C[6]CO)2(CNO)	C[6](C[6,6]CCO)(C[6]CC)(O)	C(C[6]CC)(NHH)(O)	C12	C13	C19	121.41
C[6](C[6,6]CCO)(C[6]CC)(O)	C[6](C[6]CO)2(CNO)	O(C[6]CC)	C13	C12	O13	124.928
C[6](C[6,6]CCO)(C[6]CC)(O)	C[6,6](C[6,6]CCH)(C[6]CO)2(OH)	O(C[6]CC)	C13	C14	O13	120.325
C[6](C[6,6]CCO)(C[6]CC)(O)	C[6,6](C[6,6]CCH)(C[6]CO)2(OH)	C[6](C[6]CO)2(CNO)	C13	C14	C12	114.582
C[6,6](C[6,6]CCH)(C[6]CO)2(OH)	C[6,6](C[6,6]CCO)(C[6]CHH)(C[6]CHN)(H)	O(C[6,6]C3)(H)	C14	C9	O14	109.026
C[6,6](C[6,6]CCH)(C[6]CO)2(OH)	C[6](C[6,6]CCO)(C[6]CC)(O)	O(C[6,6]C3)(H)	C14	C13	O14	105.455
C[6,6](C[6,6]CCH)(C[6]CO)2(OH)	C[6](C[6,6]CCO)(C[6,6]CC)(OH)	O(C[6,6]C3)(H)	C14	C15	O14	111.462
C[6,6](C[6,6]CCH)(C[6]CO)2(OH)	C[6,6](C[6,6]CCO)(C[6]CHH)(C[6]CHN)(H)	C[6](C[6,6]CCO)(C[6]CC)(O)	C14	C9	C13	110.003
